#ST       L         R        Teff     Mass    Bol    BC     B-V    V-R    V-I    Mu     Mv     Mb     Mr     Mi     Mj     Mh     Mk     Ml  flag  check
 M6   1.962E-03  1.508E-01   2953.   0.100  11.52  -4.92   2.10   2.27   4.78  19.91  16.44  18.53  14.17  11.65   9.58   8.90   8.50   8.11   0     1
 M5   6.968E-03  2.231E-01   3303.   0.200  10.14  -2.93   1.71   1.37   3.14  16.06  13.07  14.79  11.71   9.94   8.29   7.68   7.38   7.12   0     0
 M3   1.420E-02  2.882E-01   3526.   0.300   9.37  -1.88   1.54   1.05   2.34  14.00  11.25  12.79  10.20   8.92   7.69   7.05   6.82   6.63   0     0
 M2   2.447E-02  3.471E-01   3679.   0.400   8.78  -1.51   1.48   0.96   2.03  12.99  10.29  11.78   9.33   8.26   7.19   6.52   6.32   6.16   0     0
 M1   4.306E-02  4.159E-01   3820.   0.500   8.16  -1.25   1.43   0.91   1.83  12.08   9.42  10.85   8.51   7.59   6.63   5.96   5.79   5.65   0     0
 M0   7.506E-02  5.013E-01   3981.   0.600   7.56  -1.07   1.38   0.86   1.69  11.23   8.63  10.01   7.77   6.95   6.07   5.41   5.26   5.13   0     0
 K6   1.296E-01  6.026E-01   4246.   0.700   6.97  -0.78   1.24   0.76   1.44  10.11   7.75   8.99   6.99   6.32   5.54   4.92   4.80   4.69   0     0
 K4   2.318E-01  7.076E-01   4628.   0.800   6.34  -0.56   1.04   0.64   1.16   8.85   6.90   7.94   6.26   5.73   4.99   4.42   4.32   4.23   0     0
 K2   4.014E-01  7.977E-01   5006.   0.900   5.74  -0.39   0.87   0.52   0.96   7.62   6.13   7.01   5.62   5.17   4.55   4.07   3.98   3.91   0     0
 K0   6.666E-01  8.972E-01   5367.   1.000   5.19  -0.29   0.79   0.45   0.84   6.65   5.48   6.27   5.03   4.64   4.12   3.69   3.61   3.55   0     0
 G7   1.047E+00  1.006E+00   5677.   1.100   4.70  -0.22   0.69   0.40   0.78   5.84   4.92   5.62   4.52   4.15   3.71   3.32   3.26   3.21   0     0
 G1   1.639E+00  1.133E+00   5985.   1.200   4.21  -0.19   0.59   0.36   0.71   5.00   4.40   4.99   4.04   3.69   3.34   3.02   2.97   2.92   0     0
 F8   2.429E+00  1.256E+00   6266.   1.300   3.79  -0.16   0.50   0.31   0.63   4.44   3.94   4.44   3.63   3.32   2.99   2.69   2.64   2.60   0     0
 F5   3.451E+00  1.367E+00   6567.   1.400   3.41  -0.13   0.40   0.26   0.52   3.93   3.54   3.93   3.28   3.02   2.77   2.55   2.51   2.48   0     0
 F3   4.673E+00  1.449E+00   6876.   1.500   3.08  -0.11   0.35   0.23   0.46   3.56   3.19   3.54   2.96   2.72   2.55   2.38   2.35   2.32   0     0
 F0   6.234E+00  1.498E+00   7289.   1.600   2.76  -0.10   0.29   0.18   0.39   3.19   2.86   3.15   2.68   2.47   2.34   2.22   2.19   2.16   0     0
 A8   8.196E+00  1.540E+00   7715.   1.700   2.47  -0.11   0.21   0.12   0.29   2.87   2.58   2.79   2.46   2.28   2.16   2.07   2.04   2.01   0     0
 A7   1.045E+01  1.585E+00   8100.   1.800   2.20  -0.13   0.17   0.09   0.22   2.59   2.33   2.50   2.24   2.11   1.97   1.90   1.87   1.85   0     0
 A5   1.311E+01  1.636E+00   8441.   1.900   1.96  -0.16   0.12   0.05   0.12   2.31   2.11   2.23   2.07   2.00   1.86   1.82   1.80   1.79   0     0
 A3   1.623E+01  1.695E+00   8766.   2.000   1.72  -0.18   0.08   0.03   0.07   2.05   1.91   1.99   1.88   1.83   1.73   1.71   1.70   1.69   0     0
 A1   2.414E+01  1.826E+00   9322.   2.200   1.29  -0.28   0.02   0.01   0.01   1.59   1.57   1.59   1.56   1.56   1.54   1.54   1.53   1.53   0     0
 A0   4.137E+01  2.054E+00  10036.   2.500   0.71  -0.45  -0.03  -0.01  -0.04   1.04   1.16   1.13   1.16   1.20   1.24   1.26   1.27   1.28   0     0
 A0   5.761E+01  2.226E+00  10475.   2.700   0.35  -0.53  -0.05  -0.01  -0.06   0.69   0.88   0.83   0.89   0.94   1.01   1.04   1.05   1.07   0     0
 B9   9.158E+01  2.543E+00  11008.   3.000  -0.15  -0.63  -0.06  -0.01  -0.07   0.22   0.47   0.41   0.49   0.55   0.64   0.67   0.70   0.72   0     0
 B9   1.885E+02  3.349E+00  11468.   3.500  -0.94  -0.71  -0.08  -0.01  -0.08  -0.54  -0.23  -0.31  -0.22  -0.15  -0.03   0.00   0.04   0.06   0     0
 B8   4.398E+02  4.650E+00  11933.   4.000  -1.86  -0.78  -0.09  -0.02  -0.09  -1.44  -1.07  -1.16  -1.06  -0.98  -0.84  -0.80  -0.76  -0.73   1     0
 B7   9.001E+02  5.290E+00  13429.   5.000  -2.64  -1.11  -0.12  -0.02  -0.09  -2.08  -1.53  -1.65  -1.50  -1.44  -1.23  -1.17  -1.11  -1.10   1     0
 B5   2.069E+03  6.290E+00  15443.   6.000  -3.54  -1.46  -0.14  -0.04  -0.11  -2.80  -2.08  -2.22  -2.04  -1.97  -1.72  -1.66  -1.56  -1.58   1     0
 B5   3.630E+03  6.980E+00  16900.   7.000  -4.15  -1.69  -0.16  -0.05  -0.13  -3.29  -2.46  -2.63  -2.42  -2.34  -2.07  -2.00  -1.89  -1.91   1     0
