#ST       L         R        Teff     Mass    Bol    BC     B-V    V-R    V-I    Mu     Mv     Mb     Mr     Mi     Mj     Mh     Mk     Ml  flag  check
 M6   6.399E-03  2.498E-01   3069.   0.100  10.23  -4.24   1.98   1.95   4.21  17.78  14.48  16.46  12.53  10.27   8.32   7.66   7.30   6.94   0     0
 M5   1.778E-02  3.565E-01   3329.   0.200   9.13  -2.79   1.67   1.31   3.03  14.86  11.91  13.58  10.60   8.88   7.28   6.68   6.38   6.14   0     0
 M3   3.171E-02  4.366E-01   3524.   0.300   8.50  -1.89   1.54   1.06   2.34  13.13  10.39  11.92   9.33   8.05   6.82   6.17   5.94   5.76   0     0
 M2   4.841E-02  4.984E-01   3669.   0.400   8.04  -1.53   1.49   0.97   2.05  12.27   9.57  11.06   8.61   7.52   6.44   5.77   5.57   5.42   0     0
 M1   6.987E-02  5.523E-01   3779.   0.500   7.64  -1.33   1.45   0.92   1.88  11.64   8.97  10.42   8.05   7.08   6.09   5.42   5.24   5.10   0     0
 M0   9.931E-02  6.121E-01   3891.   0.600   7.26  -1.16   1.41   0.89   1.76  11.05   8.42   9.83   7.53   6.66   5.75   5.08   4.91   4.78   0     0
 M0   1.435E-01  6.860E-01   4037.   0.700   6.86  -1.02   1.36   0.85   1.64  10.45   7.88   9.24   7.03   6.23   5.38   4.72   4.58   4.45   0     0
 K6   2.281E-01  7.834E-01   4338.   0.800   6.35  -0.71   1.18   0.73   1.34   9.30   7.06   8.24   6.34   5.72   4.94   4.33   4.22   4.11   0     0
 K3   4.581E-01  8.994E-01   4871.   0.900   5.60  -0.44   0.92   0.55   1.02   7.66   6.04   6.95   5.49   5.02   4.36   3.86   3.76   3.69   0     0
 K0   7.708E-01  9.707E-01   5341.   1.000   5.03  -0.30   0.79   0.45   0.85   6.53   5.33   6.12   4.88   4.48   3.96   3.52   3.44   3.38   0     0
 G8   1.050E+00  1.021E+00   5630.   1.100   4.70  -0.23   0.71   0.41   0.79   5.88   4.93   5.64   4.52   4.14   3.69   3.29   3.22   3.17   0     0
 G2   1.515E+00  1.124E+00   5888.   1.200   4.30  -0.19   0.61   0.37   0.73   5.14   4.49   5.10   4.13   3.77   3.41   3.09   3.04   2.99   0     0
 F9   2.339E+00  1.260E+00   6197.   1.300   3.83  -0.16   0.52   0.33   0.66   4.52   3.99   4.51   3.66   3.33   2.99   2.69   2.64   2.60   0     0
 F5   3.371E+00  1.366E+00   6520.   1.400   3.43  -0.13   0.41   0.26   0.53   3.96   3.57   3.97   3.30   3.04   2.78   2.55   2.51   2.47   0     0
 F3   4.592E+00  1.446E+00   6853.   1.500   3.09  -0.11   0.35   0.23   0.47   3.58   3.21   3.56   2.97   2.74   2.56   2.39   2.36   2.33   0     0
 F0   6.103E+00  1.485E+00   7280.   1.600   2.79  -0.10   0.29   0.18   0.39   3.21   2.88   3.17   2.70   2.49   2.36   2.24   2.21   2.18   0     0
 A8   8.003E+00  1.516E+00   7717.   1.700   2.49  -0.11   0.21   0.12   0.29   2.89   2.60   2.82   2.49   2.31   2.18   2.10   2.07   2.04   0     0
 A7   1.017E+01  1.548E+00   8141.   1.800   2.23  -0.13   0.17   0.08   0.22   2.62   2.36   2.53   2.28   2.15   2.01   1.94   1.91   1.88   0     0
 A4   1.272E+01  1.583E+00   8518.   1.900   1.99  -0.16   0.11   0.04   0.10   2.34   2.15   2.26   2.11   2.05   1.92   1.89   1.87   1.86   0     0
 A3   1.569E+01  1.621E+00   8878.   2.000   1.76  -0.19   0.07   0.02   0.06   2.07   1.95   2.02   1.93   1.89   1.81   1.79   1.78   1.77   0     0
 A0   2.306E+01  1.702E+00   9564.   2.200   1.34  -0.36  -0.01   0.00  -0.02   1.65   1.70   1.69   1.70   1.72   1.73   1.74   1.74   1.75   0     0
 A0   3.836E+01  1.834E+00  10445.   2.500   0.79  -0.53  -0.05  -0.01  -0.06   1.14   1.32   1.27   1.33   1.38   1.44   1.47   1.49   1.51   0     0
 B9   5.199E+01  1.927E+00  10994.   2.700   0.46  -0.63  -0.06  -0.01  -0.07   0.83   1.09   1.02   1.10   1.16   1.25   1.28   1.31   1.33   0     0
 B9   7.877E+01  2.072E+00  11740.   3.000   0.01  -0.75  -0.08  -0.02  -0.09   0.42   0.76   0.68   0.78   0.85   0.98   1.02   1.05   1.08   0     0
 B8   1.447E+02  2.328E+00  12788.   3.500  -0.65  -0.97  -0.11  -0.02  -0.09  -0.16   0.32   0.21   0.34   0.41   0.59   0.64   0.69   0.72   0     0
 B7   2.436E+02  2.581E+00  13857.   4.000  -1.22  -1.20  -0.12  -0.03  -0.09  -0.61  -0.02  -0.14   0.01   0.07   0.30   0.35   0.44   0.43   0     0
 B5   6.077E+02  3.201E+00  15646.   5.000  -2.21  -1.50  -0.15  -0.04  -0.11  -1.45  -0.71  -0.86  -0.67  -0.60  -0.35  -0.29  -0.19  -0.21   0     0
 B5   1.310E+03  4.013E+00  16963.   6.000  -3.04  -1.69  -0.16  -0.05  -0.13  -2.18  -1.35  -1.51  -1.30  -1.22  -0.95  -0.88  -0.77  -0.80   0     0
 B4   2.671E+03  5.488E+00  17602.   7.000  -3.82  -1.81  -0.17  -0.06  -0.14  -2.89  -2.01  -2.18  -1.95  -1.87  -1.58  -1.51  -1.41  -1.42   0     0
